"ensembl_gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100126360",NA,95.3477326487426,3.27555417265778,0.848103781002723,3.86220913764239,0.000112366308660944,0.0157401542369001
"LOC100126361",NA,286.294054028741,1.05036618924871,0.613932125104507,1.71088324962619,0.087102667359712,0.902916257752185
"LOC100126363",NA,767.682492393067,-0.28473319413908,0.558224226419952,-0.510069575383987,0.610002719275939,0.999937202399348
"LOC100126364",NA,683.670278811546,0.642186894466507,0.724601765144309,0.886261841135057,0.375476446428647,0.999937202399348
"LOC100126430",NA,88.3422802064251,-0.205572147424203,1.13639638022069,-0.180898277222848,0.856447421121074,0.999937202399348
"LOC100126542",NA,1182.11725494629,-0.216237511047735,0.544666095693988,-0.397009310396335,0.691360594934471,0.999937202399348
"LOC100126801",NA,1951.62275361918,-0.359216527080444,0.556665691571199,-0.645300280796089,0.518732610782652,0.999937202399348
"LOC100126886",NA,766.889062879633,-0.152017320622124,0.615909263150107,-0.246817720916586,0.80504929539567,0.999937202399348
"LOC100126898",NA,14618.5014579183,1.8812042492245,0.989312459134874,1.90152689562765,0.0572330330844831,0.776961655555717
"LOC100126901",NA,898.876813842782,-0.892206586889263,0.571842699296395,-1.56023079071753,0.118705351793047,0.998093224977635
"LOC100126915",NA,455.838534285991,-0.0923975164773419,1.11105963356716,-0.0831616176898546,0.933723031630107,0.999937202399348
"LOC100126917",NA,33.8706885132639,1.65008181449373,0.98786385838062,1.67035346064655,0.094849451721455,0.927242665772828
"LOC100126928",NA,882.169203065698,-0.199691695546778,0.565437415280602,-0.353163215150309,0.723966083338826,0.999937202399348
"LOC100126935",NA,421.240421845013,0.27617552912693,0.604529839905987,0.45684350200129,0.647783535367682,0.999937202399348
"LOC100126941",NA,101.024934851795,1.3758866159841,0.943568737570982,1.45817316873599,0.144792817466763,0.999937202399348
"LOC100126965",NA,52.411792340507,3.11810029500596,0.925102474180768,3.37054583900796,0.000750194238299716,0.0654636709913014
