"","c1","c2","m1","m2"
"LOC111590035",0,0,0,0
"LOC103635645",15,0,0,0
"LOC100501351",522,327,345,557
"LOC103635646",17,13,55,79
"LOC109941425",0,0,0,0
"LOC100281307",1463,2211,2268,2372
"LOC103635648",269,94,99,273
"LOC103637150",376,602,773,909
"LOC103635650",268,262,188,206
"LOC109941531",0,0,0,0
"TRNAI-UAU_4",0,0,0,0
"LOC109941607",0,0,0,0
"LOC100272457",1303,1389,1972,3097
"LOC103635651",0,1,0,17
"LOC100501867",2711,1647,1869,3478
"LOC100284832",132,96,42,58
"LOC100278204",44,0,19,52
"LOC109941591",10,5,22,58
"LOC109941998",0,0,2,0
"LOC100272347l",805,724,858,1175
"LOC100193903",207,88,224,181
"LOC103635654",0,0,0,0
"LOC103635655",0,4,0,0
"LOC100279616",140,65,104,87
"LOC111589942",0,0,0,0
"LOC103635657",494,573,833,495
"LOC103635659",0,0,0,0
"LOC100278816",2522,2438,2988,2224
"LOC100502421",536,308,522,674
"TUBB2",0,1,0,0
"LOC103637156",0,0,0,0
"LOC100381957",0,0,0,0
"LOC107548110",0,2,4,23
"LOC103635660",0,0,0,0
"LOC100282422",2074,853,1409,3847
"LOC103635662",225,793,376,64
"LOC100274962",0,0,0,0
"LOC100384013",11,0,0,31
"LOC103635664",30,28,10,34
"LOC103635666",0,0,0,0
"LOC100273245",827,483,497,989
"LOC100276797",945,361,647,1344
"LOC103635667",7,10,71,71
"LOC100383949",146,60,135,256
"LOC100383673",0,2,12,0
"LOC109941575",5,0,0,0
"LOC109941630",0,0,0,0
"LOC103635670",0,0,0,0
"LOC100273528",131,369,287,36
"LOC100281565",603,382,558,1265
"LOC109942011",37,17,35,23
"LOC100216730",1217,365,540,1314
"LOC103635674",1116,763,719,1001
"LOC103635675",0,0,0,0
"LOC100383621",53,82,155,109
"LOC100272847",1977,2610,3961,1656
"LOC118473124",0,0,1,0
"LOC103635676",1175,610,995,2058
"LOC103637166",0,0,0,0
"LOC109941639",220,94,124,413
"LOC103635678",2023,4817,7073,4080
"LOC109941845",9,0,3,0
"mbd101",459,77,70,406
"LOC103635679",1202,641,920,1272
"LOC541892",161,107,125,101
"LOC109942030",0,0,0,0
"LOC103635680",0,0,0,0
"LOC100191160",29,4,10,2
"LOC111589964",0,0,0,0
"LOC111589953",0,0,0,0
"LOC118473125",7,3,4,0
"LOC103637169",0,0,0,0
"LOC100273309",314,929,1153,831
"LOC100275831",40,32,35,85
"LOC103635684",0,0,0,0
"LOC100283286",42,101,66,141
"LOC100279213",369,217,270,446
"LOC100194227",141,83,57,79
"LOC100282382",0,0,0,0
"LOC103648296",0,0,0,0
"LOC109941422",0,0,0,0
"LOC103635686",0,0,0,4
"LOC118473126",0,0,0,0
"LOC103635691",0,1,0,0
"LOC100279375",1,13,26,0
"LOC111590000",0,0,0,0
"LOC111590001",0,0,0,0
"LOC109941580",0,0,0,0
"LOC103637179",0,0,0,0
"LOC103635692",0,5,3,0
"LOC103637181",0,0,0,0
"LOC103635694",0,0,0,0
"LOC100037763",556,232,127,806
"LOC103635696",5,5,0,0
"LOC100282109",0,46,21,0
"LOC100281688",54,72,38,0
"LOC103635699",0,0,0,0
"LOC109941502",0,1,0,0
"LOC100275868",180,279,115,242
"LOC100382412",90,293,76,40
"LOC103637185",0,0,0,0
"LOC103635704",5,161,10,5
"LOC118473127",26,64,63,17
"LOC100274065",91,81,83,92
"LOC103635705",0,0,0,0
"LOC103635706",0,0,0,0
"LOC103637187",0,3,0,0
"LOC100283638",478,383,431,763
"LOC100278553",0,0,0,0
"LOC100191557",13,53,72,88
"LOC100283410",0,0,6,10
"LOC100281160",8503,7596,6303,2589
"LOC100274749",95,111,181,191
"LOC103635707",53,3,3,13
"LOC100170241",212,112,199,769
"LOC103635710",0,1,0,0
"LOC103635708",0,0,0,7
"LOC542206",9,4,0,0
"LOC109941644",0,0,0,1
"LOC103635712",0,0,0,0
"LOC103635713",0,0,0,0
"LOC103635714",1088,412,1202,542
"LOC100274569",161,492,688,206
"LOC103635715",1201,454,640,1486
"LOC100273899",616,567,551,671
"LOC103635716",0,0,0,0
"LOC100279274",1718,1188,1198,1651
"LOC100192702",13,25,11,0
"LOC100283596",119,81,176,235
"LOC100283739",2537,1013,1075,1687
"LOC100280909",407,1566,1295,199
"LOC118473129",0,6,0,0
"LOC103635720",0,0,0,0
"LOC100283380",572,346,564,775
"LOC103635722",0,0,0,0
"LOC100194381",7,14,13,31
"LOC103635725",0,0,0,0
"TRNAK-UUU_42",0,0,0,0
"LOC100502227",0,24,3,25
"LOC103635726",0,0,0,0
"LOC103635727",11,0,0,0
"LOC100192464",23,2,13,14
"LOC100273694",831,129,514,1054
"LOC100381926",0,2,0,0
"LOC100502358",120,54,52,131
"LOC118473130",22,2,76,416
"LOC100192366",1749,1445,1312,1794
"LOC100382211",0,0,0,0
"LOC100284848",175,112,57,4
"LOC109942024",1,0,0,0
"LOC100279376",24,31,59,191
"LOC103633642",0,0,0,0
"LOC100282405",392,252,372,615
"LOC100284568",0,0,0,0
"LOC100276815",356,156,271,583
"LOC100274190",279,132,284,515
"LOC100502317",0,0,0,0
"LOC103635731",0,0,0,0
"LOC103635733",1596,887,1936,402
"LOC100283319",22,9,12,42
"LOC542182",59,53,64,158
"LOC103635734",717,68,46,681
"LOC100277664",9,2,17,23
"LOC100194393",667,510,624,505
"LOC103635737",0,0,0,0
"LOC103635738",657,377,485,755
"TRNAK-UUU_43",0,0,0,0
"LOC103635740",0,0,0,0
"LOC103637197",0,0,0,0
"LOC100272776",452,201,248,555
"LOC100282644",1054,297,281,1151
"LOC103635741",0,2,18,0
"LOC100279902",173,19,20,104
"LOC103635743",140,24,19,113
"LOC100193899",211,116,117,262
"LOC103635745",0,0,3,0
"LOC100382224",17,1,3,0
"LOC103637199",0,0,0,0
"LOC103635747",97,90,192,127
"LOC100274754",1513,552,551,1176
"LOC100279542",931,667,1041,1642
"LOC111590065",0,0,0,0
"LOC100286102",1002,927,1266,2548
"LOC100275858",0,19,18,13
"LOC103635750",0,0,225,0
"LOC100384528",60,75,99,148
"LOC100382875",0,4,2,0
"LOC100275726",148,168,197,195
"LOC103635751",0,0,0,0
"LOC100273365",19,106,75,7
"LOC103635752",323,263,608,706
"LOC100282282",998,457,853,1238
"LOC103635753",0,0,0,0
"LOC103635754",0,0,0,0
"LOC103635755",0,0,0,0
"LOC103635756",0,0,0,0
"LOC103637205",0,1,1,0
"LOC103635758",26,3,3,8
"LOC107546766",315,62,174,594
"LOC100193628",0,3,0,19
"LOC103643025",0,0,0,0
"LOC103643039",10,9,15,13
"LOC100274920",101,48,108,178
"LOC100280283",106,67,40,22
"LOC100279887",60,98,135,21
"LOC100278654",2270,2144,2666,2521
"LOC541868",1331,1886,2583,3255
"LOC103635760",17,3,15,50
"LOC103635761",0,1,0,0
"LOC100501481",95,70,149,412
"LOC100283331",807,330,671,687
"LOC103635762",73,39,23,77
"LOC100193566",436,289,593,945
"LOC100278080",0,0,6,143
"LOC103635763",0,3,0,0
"LOC103637209",0,0,0,0
"LOC100272466",1439,632,1133,2758
"LOC111589917",48,25,34,29
"LOC100282823",3216,3347,6922,10139
"LOC100284318",436,602,1015,1097
"LOC100274110",243,172,158,275
"LOC103635765",902,363,469,969
"LOC100275156",0,0,5,0
"LOC109939276",0,0,0,0
"LOC118473212",0,0,0,0
"LOC100216889",0,1,5,2
"LOC100193752",0,0,0,0
"LOC103635767",934,498,693,1088
"LOC100381452",0,0,0,0
"LOC103637213",0,0,0,2
"LOC103637214",2,1,0,1
"LOC100502139",0,0,0,0
"LOC103635770",0,0,0,0
"LOC109941553",1,1,1,0
"LOC103635772",815,396,686,1071
"LOC103635773",132,211,382,124
"LOC103635774",14,0,24,66
"TRNAE-CUC_25",0,0,0,0
"LOC100278125",366,102,162,380
"LOC100277876",102,59,81,20
"LOC103635776",618,532,648,549
"LOC101027156",425,169,340,292
"LOC103635777",415,407,508,478
"LOC109939386",0,0,0,0
"LOC103635778",0,0,0,0
"LOC109941612",0,0,0,0
"LOC103635779",1275,752,1238,1974
"LOC100273424",442,170,235,305
"LOC103635780",12,7,1,14
"LOC103635784",107,50,106,85
"LOC100277590",19,4,14,8
"LOC118473131",0,0,0,0
"LOC100279465",12,9,16,3
"LOC103635782",0,0,0,0
"LOC100191150",760,353,484,792
"LOC100284537",0,0,0,0
"LOC103635785",1274,1164,1659,722
"LOC114803467",0,0,0,0
"LOC109942017",0,0,0,0
"LOC114803466",0,0,0,0
"LOC100279044",0,0,0,71
"LOC103635786",0,3,34,0
"LOC542376",57,18,0,0
"LOC103635788",197,189,297,695
"LOC100274105",665,294,658,754
"LOC103635789",0,0,0,0
"LOC100280837",21,48,93,54
"TRNAG-UCC_8",0,0,0,0
"LOC100273939",1,85,47,0
"LOC103637222",0,0,0,0
"LOC103635790",0,0,0,0
"LOC111589994",0,0,0,0
"LOC100383917",1164,727,929,561
"LOC103635794",77,54,167,25
"LOC100285072",1254,1029,1243,737
"LOC100192789",520,192,321,506
"LOC103635792",16,13,36,4
"LOC100279925",301,71,115,386
"LOC103635795",0,1,0,0
"LOC100274936",670,712,1188,1493
"LOC100274421",486,282,276,517
"MIR164h",0,0,0,0
"LOC103637223",0,0,0,0
"LOC100383661",13,9,1,26
"LOC100193296",7,9,3,0
"LOC100276718",0,0,0,0
"LOC100284808",1077,402,1026,1017
"LOC111590041",7,1,1,0
"LOC111590045",1,1,0,0
"LOC111590044",0,0,5,0
"LOC100275141",340,144,106,268
"LOC103635796",0,0,0,0
"LOC103635797",8,0,0,11
"LOC541665",4601,3996,3892,5267
"LOC100281719",19,61,68,83
"LOC103635798",0,1,2,0
"LOC100382071",121,40,63,231
"LOC103635799",0,0,0,0
"LOC100277503",542,303,655,276
"LOC103635800",130,186,323,40
"LOC103635801",0,0,0,0
"LOC100285407",7,105,45,18
"LOC100283730",1140,505,1379,1497
"LOC109941980",0,0,0,0
"LOC100277571",641,165,168,813
"LOC103635802",98,163,204,37
"LOC100272564",419,224,198,394
"LOC111589988",0,0,0,0
"LOC100283911",90,44,37,86
"LOC100193691",709,329,299,1336
"LOC100279399",525,443,688,534
"LOC103635803",0,1,0,0
"LOC103635805",0,0,0,0
"LOC103635804",0,0,0,0
"LOC542085",707,372,692,1093
"LOC103635806",0,0,0,0
"LOC103635808",38,28,1,21
"LOC541661",1922,747,797,891
"LOC100381774",7,14,14,45
"LOC100194189",0,0,0,0
"LOC118473133",0,4,0,3
"LOC100303993",237,54,78,337
"LOC103635809",0,1,0,0
"LOC542307",0,0,0,0
"LOC100274148",0,31,8,0
"LOC100384596",0,0,0,0
"LOC103635811",0,0,0,0
"LOC100283012",0,0,2,38
"LOC103635810",0,0,0,0
"LOC100285804",1421,598,1316,7203
"LOC109941443",999,2196,2827,93
"LOC103635813",3410,3411,5715,524
"LOC100191786",2559,4754,3095,550
"LOC103637239",0,0,0,0
"LOC100191807",83,95,72,49
"LOC100279614",62,14,32,21
"LOC103635817",4062,17222,18256,4077
"LOC100285605",7,28,52,0
"LOC100272384",63,103,159,71
"LOC100273194",161,205,157,54
"LOC100280582",3302,4615,3452,551
"LOC100193212",63,69,39,112
"LOC100281596",531,473,520,340
"LOC100384389",32,31,65,152
"LOC103637240",4,3,0,0
"LOC103635819",47,51,113,126
"LOC100217093",0,0,0,0
"LOC103635820",0,0,0,0
"LOC103635821",0,1,1,0
"LOC100191999",11,1,7,0
"LOC100382397",17,102,61,18
"LOC111590028",0,0,0,0
"LOC111589998",0,0,0,0
"LOC111590054",0,0,0,0
"LOC103635823",0,0,0,0
"LOC100278747",156,25,98,365
"LOC118473135",0,0,0,0
"LOC100280297",0,0,3,0
"LOC100285601",0,114,19,0
"LOC100191473",26,131,37,6
"LOC103635824",0,33,0,0
"LOC103635825",319,79,201,1590
"LOC103635827",69,45,49,50
"LOC109941864",0,0,0,0
"LOC103635826",23,44,36,55
"LOC100284879",41,14,20,30
"LOC103635830",679,399,432,719
"LOC100216909",304,194,225,553
"LOC100282378",158,24,37,232
"LOC100280058",160,61,130,160
"LOC100283835",564,1157,1181,1261
"LOC100383243",1812,1192,1616,1936
"LOC103635833",11,7,0,0
"LOC103635834",426,314,737,1213
"LOC103637244",0,0,0,0
"LOC100382815",2031,1880,1794,2471
"TRNAD-GUC_26",0,0,0,0
"LOC111674462",4,1,16,34
"LOC100194195",342,94,76,416
"LOC109941521",260,44,87,370
"LOC109941973",0,0,0,0
"LOC109941544",0,1,0,0
"LOC103642998",26,9,19,121
"LOC100284436",0,7,13,1
"LOC103639058",0,0,0,0
"LOC100194214",137,71,221,491
"LOC111589940",0,0,0,0
"LOC100192475",109,30,110,134
"LOC542503",78,70,103,52
"LOC100272622",2097,1254,1374,2872
"LOC103635836",0,27,259,0
"LOC103635837",0,6,2,0
"LOC103635839",0,0,0,0
"LOC103637246",0,1,0,0
"LOC103635840",17,8,2,10
"LOC103635842",0,1,0,0
"LOC103635841",0,0,0,0
"LOC103635843",228,327,192,31
"LOC100274493",1702,1037,1476,2071
"LOC100384271",14,0,26,189
"LOC103635844",0,0,0,0
"LOC100282086",79,133,151,8
"LOC103635847",86,43,73,129
"LOC100127519",45,28,18,0
"LOC103635848",69,177,234,101
"LOC109941475",0,0,0,0
"LOC100170239",1959,1210,1642,1473
"LOC109941606",0,2,0,0
"LOC103635851",31,11,44,244
"LOC542406",82,76,86,92
"LOC100280592",198,196,170,129
"LOC100281561",2841,3426,3577,1731
"LOC103637251",0,0,0,0
"LOC103635855",0,0,0,0
"LOC109941865",0,0,0,0
"LOC109941528",2,18,0,4
"LOC109941995",9,2,0,0
"LOC109941994",1,0,0,0
"LOC103635853",1,0,0,0
"LOC100382611",0,0,0,0
"LOC109941550",0,0,0,0
"LOC103635852",0,0,0,0
"LOC103635859",11,0,0,0
"LOC103637259",0,0,0,0
"LOC103635861",0,0,0,0
"LOC100502354",0,0,0,0
"LOC103635862",0,0,0,25
"LOC103635863",0,3,0,0
"LOC100382081",11,7,0,48
"LOC100285840",52,47,119,106
"LOC103635865",127,79,110,131
"LOC103635866",0,5,0,0
"LOC103637263",0,6,4,0
"LOC111589983",0,0,0,0
"LOC103635867",325,864,586,47
"TRNAK-CUU_48",0,0,0,0
"LOC541857",977,354,282,597
"LOC100217045",1520,712,525,1627
"LOC118473137",0,0,0,0
"LOC103635869",97,58,80,77
"LOC103635870",0,0,0,1
"LOC103635871",8,2,0,21
"LOC542510",1624,494,636,1343
"LOC542410",0,0,0,0
"LOC100381528",90,148,86,218
"LOC100194108",808,1606,2159,1543
"LOC100280678",37,45,40,21
"LOC100281266",6,4,6,0
"LOC100383589",2,11,53,43
"LOC100280565",68,26,52,58
"LOC100193413",1802,829,1188,2556
"LOC100282240",0,0,0,0
"LOC109029532",40,5,17,0
"LOC100193766",353,233,209,387
"LOC100272414",39,30,21,88
"LOC100192108",402,266,271,476
"LOC103635873",42,20,12,3
"LOC103635874",0,0,3,0
"LOC100284155",3312,2613,3573,2395
"LOC103635876",0,0,0,0
"LOC103635877",79,93,96,141
"TRNAK-CUU_49",0,0,0,0
"LOC100277841",0,0,0,0
"LOC100277828",20,8,27,37
"TRNAV-UAC_4",0,0,0,0
"LOC100170236",1434,1505,2156,2239
"LOC103635879",152,159,175,193
"LOC103635880",276,105,127,276
"LOC100381872",387,249,229,541
"LOC103635881",299,191,232,527
"LOC109942023",0,1,0,0
"LOC100281800",130,106,219,238
"TRNAR-UCG_2",0,0,0,0
"LOC118473213",0,3,0,0
"LOC103643069",0,8,6,10
"LOC100216893",465,182,282,635
"LOC100281742",454,309,558,757
"LOC103637267",0,0,0,0
"LOC103635883",0,0,0,0
"LOC100283249",484,467,413,330
"LOC100277743",3,20,0,0
"LOC109941554",0,0,0,0
"LOC100216772",151,84,135,278
"LOC111674469",41,6,11,68
"LOC100216846",0,0,0,0
"LOC103637271",0,0,0,0
"LOC100382956",398,99,367,1045
"LOC118473138",13,2,16,5
"LOC100217083",642,310,618,765
"MIR169q",0,0,0,0
"LOC100191451",118,88,143,279
"LOC103635889",1940,1507,4169,5793
"LOC103637274",0,0,0,0
"LOC103635891",0,0,1,0
"LOC100283461",10224,12066,9357,5272
"LOC100280949",24,23,22,33
"LOC103635893",2820,2022,2369,2817
"LOC100191932",1138,561,847,1536
"LOC100282304",239,116,139,363
"LOC111590049",0,1,0,0
"LOC103635896",254,231,244,643
"LOC100382628",177,83,160,207
"LOC100272563",1417,772,918,1645
"LOC103635898",237,96,261,250
"LOC100278107",508,153,274,911
"LOC542630",124,86,6,46
"LOC100273021",4126,4121,5317,6217
"LOC100277572",166,81,213,343
"LOC109941874",9,11,1,3
"LOC100192867",0,12,12,15
"LOC100280271",265,104,219,306
"LOC103635900",0,0,0,0
"LOC103635901",0,0,0,0
"LOC103635902",25,0,17,145
"TRNAN-GUU_14",0,0,0,0
"LOC100383776",2320,773,930,1903
"LOC103635903",0,0,0,0
"LOC103637280",7,3,12,0
"LOC100192041",863,856,913,815
"LOC103635904",239,140,154,103
"LOC103637281",37,14,12,33
"LOC103635905",367,63,167,359
"LOC100283928",611,197,341,497
"LOC109941875",0,0,0,0
"LOC100273186",843,260,325,499
"LOC100275324",1,0,0,0
"LOC103635907",1,2,1,0
"LOC100272313",0,0,0,0
"LOC100383425",764,634,927,1722
"LOC103635910",0,0,0,0
"LOC100191936",556,407,602,1421
"LOC109941614",0,0,0,0
"LOC103635911",0,0,0,0
"LOC103635913",0,3,4,0
"LOC100284322",57,7,13,150
"LOC100502008",279,199,461,421
"LOC109941587",0,0,0,0
"LOC100282727",248,88,70,138
"LOC100281346",559,523,382,750
"LOC100501048",0,0,0,0
"LOC100191838",3930,3025,2780,3309
"LOC111590099",0,0,0,0
"LOC100383780",478,393,1142,1308
"LOC100194008",42,427,261,63
"LOC103635914",0,0,0,0
"LOC103635915",0,0,0,0
"LOC100217208",265,101,162,432
"LOC541971",160,74,72,137
"LOC109941570",0,0,0,0
"LOC103635917",0,0,0,0
"LOC103635916",0,6,1,9
"LOC103635921",0,0,0,0
"LOC100275736",0,0,0,0
"LOC103635922",0,0,80,29
"LOC103637291",0,2,0,0
"LOC100276781",794,397,474,576
"LOC100274417",0,0,18,28
"LOC100285586",310,69,89,378
"LOC118473141",0,0,0,0
"LOC100384005",57,134,176,159
"LOC100192799",488,355,705,735
"LOC541960",0,0,0,0
"LOC100381846",2955,2868,1572,2063
"LOC109941646",0,0,0,0
"LOC103637294",0,0,0,0
"LOC103635926",0,0,0,0
"LOC109941628",0,0,0,0
"LOC100282686",310,220,284,598
"LOC103637295",10795,9862,9632,1438
"LOC103635927",61,87,128,149
"LOC100283703",118,27,41,190
"LOC103635928",526,406,557,1123
"LOC103635929",12,9,12,0
"LOC103635931",290,621,455,207
"LOC100381859",520,166,248,646
"LOC103635933",0,0,0,0
"LOC100275257",27,14,31,41
"LOC100279451",2171,1551,2451,1807
"LOC109941679",0,0,0,0
"LOC103635935",20,4,15,9
"LOC100383504",23,3,13,81
"LOC103635936",0,0,0,0
"LOC103637297",0,0,0,0
"LOC100381404",15,1,0,2
"LOC100382372",1017,189,352,1776
"LOC103635937",42,25,83,23
"LOC100281576",13,29,68,75
"LOC118473142",0,13,11,27
"LOC100501334",0,0,0,7
"LOC103635938",0,0,1,0
"LOC103635939",2235,1129,1672,2878
"LOC100277647",246,377,295,398
"LOC100272909",145,316,266,47
"LOC103635940",0,0,0,0
"LOC103635941",1,0,1,0
"LOC111590042",0,0,0,0
"LOC111590047",0,0,0,0
"LOC111590043",0,0,0,0
"LOC100282127",536,283,235,730
"TRNAN-GUU_15",0,0,0,0
"LOC103637299",8,154,125,0
"LOC109941984",0,0,0,0
"LOC100286283",26,19,37,53
"LOC100193464",14,2,2,0
"LOC109941525",12,0,0,0
"LOC103635943",0,0,0,0
"LOC103635944",2173,2026,3570,5509
"LOC109941640",0,0,0,0
"LOC103635946",0,0,0,0
"LOC103635947",0,0,0,0
"LOC103637302",0,0,0,0
"LOC100285698",57,12,51,119
"LOC103635950",7,4,3,7
"LOC103635949",628,660,777,1226
"LOC103635951",382,190,421,507
"LOC103635953",0,0,0,0
"LOC100280464",357,454,717,310
"LOC103637304",0,0,0,0
"LOC100281170",7542,1365,86,170
"LOC100382130",1288,526,882,1118
"LOC100276428",687,235,462,538
"LOC100279509",655,472,1373,968
"LOC103635955",0,0,0,0
"LOC103635956",0,0,0,0
"LOC103635957",0,0,1,0
"LOC100274142",0,0,2,19
"LOC103635958",2611,2715,4625,1695
"TRNAR-UCG_3",0,0,0,0
"LOC100279037",0,0,0,0
"TRNAR-UCG_4",0,0,0,0
"LOC103635959",0,0,0,0
"LOC103637310",0,0,0,0
"LOC100383760",63,75,67,32
"TRNAR-UCG_5",0,0,0,0
"LOC109941611",0,0,0,0
"TRNAR-UCG_6",0,0,0,0
"LOC109941610",0,0,0,0
"LOC111590070",0,0,0,0
"dhar1",1855,1680,1742,1818
"dhar2",44,26,21,59
"LOC541929",151,94,48,97
"LOC541880",240,72,121,375
"LOC100283726",65,33,6,78
"LOC103635963",0,0,0,0
"LOC100277278",13,4,4,39
"LOC103637315",0,0,0,0
"LOC103637317",0,1,0,0
"LOC101202700",848,466,918,1032
"LOC100280873",300,196,347,590
"LOC100274521",2854,3593,5306,2760
"LOC103635966",724,389,329,466
"LOC100382019",0,0,4,0
"LOC103637338",0,0,0,0
"LOC100272994",13,10,13,24
"LOC100382072",0,0,2,7
"LOC100191406",1083,499,1685,1780
"LOC100274158",65,27,124,152
"LOC103635969",0,0,0,0
"LOC100280917",9599,458,532,1641
"LOC103635971",0,0,0,0
"LOC111590063",0,1,1,0
"LOC100285589",652,261,402,902
"LOC103635973",988,396,722,1550
"LOC118473143",16,2,3,17
"LOC100191249",180,44,34,185
"LOC100194029",1253,2322,2959,1881
"LOC103635972",39,6,14,17
"LOC100277183",5995,9905,15681,11911
"LOC109939342",223,320,548,520
"LOC103637322",775,1124,1131,195
"LOC100279770",327,97,167,459
"LOC100278126",321,193,68,427
"LOC542408",50998,9874,27102,107975
"LOC100381910",301,553,283,339
"TRNAA-UGC_10",0,0,0,0
"LOC103635978",0,0,0,0
"LOC103637323",0,0,0,0
"LOC103635980",0,0,0,0
"LOC100191561",2367,1380,1596,3233
"LOC103635981",3927,3990,5542,6454
"LOC103635982",0,0,1,0
"LOC100273381",0,0,0,0
"LOC103637325",1157,749,929,1253
"TRNAL-UAG_4",0,0,0,0
"LOC100383831",1034,960,1142,1277
"LOC100286346",700,425,655,1148
"LOC100278105",448,587,941,586
"LOC118473144",0,0,0,0
"LOC100283324",22,70,78,63
"LOC100193970",944,588,776,1818
"opr4",72,90,71,15
"MMT1",4258,3697,4180,4716
"LOC100216874",139,70,184,265
"LOC103635983",2,0,0,19
"LOC100280256",144,52,58,186
"LOC100282246",583,343,441,476
"LOC100282887",1212,3774,6001,2537
"LOC100501293",574,252,627,1161
"LOC109941887",0,2,0,0
"LOC100277281",94,29,14,31
"LOC100285546",1,5,1,0
"LOC100284167",2261,1210,1404,2067
"LOC100501664",132,97,64,65
"LOC100278491",0,0,0,0
"LOC100283640",1938,1138,1715,3043
"LOC100273986",320,102,201,402
"LOC100273936",99,77,53,135
"LOC100277462",1521,323,26,0
"LOC100217065",182,70,216,807
"LOC100282352",340,53,57,165
"LOC100276326",104,5,36,191
"LOC118473216",0,0,0,0
"LOC100279994",917,457,805,1666
"LOC103635986",0,0,0,0
"LOC103635987",580,283,399,914
"LOC100281947",541,950,1030,263
"LOC103635988",22,79,49,4
"LOC100285974",7,16,28,22
"LOC111590025",0,0,0,0
"LOC100275017",240,108,105,210
"LOC100285565",103,121,196,72
"LOC542636",532,189,523,653
"LOC103635990",1115,547,850,1106
"LOC100278136",11,8,2,6
"LOC100502398",3151,4436,4982,2472
"LOC100193373",106,60,82,216
"LOC118473217",16,8,0,0
"LOC109941889",22,4,10,0
"LOC103635992",0,0,0,0
"LOC100191745",14,6,6,0
"LOC103635995",132,93,144,93
"LOC103635996",1921,2575,3453,2702
"LOC100384654",271,174,175,350
"LOC111589933",706,573,1299,1886
"LOC542632",1422,2071,2055,2632
"LOC103636001",531,252,403,1081
"LOC103637332",0,0,0,0
"LOC103636003",5,2,0,0
"LOC103637333",195,60,107,534
"LOC103636004",75,41,85,104
"LOC103636005",483,381,478,329
"LOC100284824",1368,695,987,1645
"LOC103637334",119,33,33,167
"LOC100191848",3916,2419,2727,4379
"LOC103636006",9,45,62,10
"LOC100382351",147,43,120,240
"LOC100274170",550,439,606,1004
"LOC100278489",228,104,156,389
"LOC100193312",81,72,58,156
"LOC101027232",121,96,134,35
"LOC103636008",0,0,0,0
"LOC103636009",0,0,0,0
"LOC109941896",0,0,0,0
"LOC542001",919,404,929,1860
"LOC111347722",2985,2227,1162,1016
"LOC100282554",932,597,866,1358
"LOC100274051",405,300,293,776
"LOC100191695",268,193,221,437
"LOC100276599",1002,455,666,1752
"LOC103637336",0,0,0,0
"LOC100381445",1,0,4,0
"LOC103636013",0,0,3,0
"LOC542714",2826,3548,9834,17588
"LOC100193246",523,70,92,501
"LOC103636015",17,52,34,44
"LOC109941898",0,0,0,0
"LOC100273227",2161,1469,1955,2649
"LOC100275329",209,352,348,96
"LOC111589966",0,0,0,0
"LOC109941750",0,0,0,0
"LOC103636016",312,77,256,409
"LOC103636017",110,35,23,263
"LOC100281394",311,227,252,251
"LOC103636018",2660,1287,1120,1985
"LOC111589982",9,26,11,0
"LOC100194397",8,11,46,59
"LOC109941434",243,186,217,199
"LOC100276707",70,12,14,43
"LOC100283053",0,13,14,0
"LOC109941654",0,0,0,0
"LOC100280448",445,1185,1323,1809
"LOC100216601",323,389,456,207
"LOC103636020",17,7,2,0
"LOC103636022",18,28,11,12
"LOC111590019",0,0,0,0
"LOC103637341",2309,1594,1872,2902
"LOC103636024",0,0,0,0
"LOC103636025",333,223,278,399
"LOC103637342",0,0,0,0
"LOC100384366",875,546,680,993
"LOC100273329",416,251,281,839
"LOC100278452",459,251,337,478
"LOC100272242",87,40,46,130
"LOC100037738",128,297,122,67
"COAC1",1105,522,495,1195
"LOC103636028",3,1,6,0
"LOC103636031",4,4,8,8
"LOC103636032",837,522,828,1421
"LOC100384768",1355,880,1207,1523
"LOC103636035",0,0,0,0
"LOC109941900",0,0,0,0
"LOC109941901",0,0,0,0
"LOC100192792",133,95,90,140
"LOC103636034",0,0,0,0
"LOC103636036",1248,111,358,1217
"LOC100284991",64,264,133,48
"LOC542412",54,164,115,86
"LOC100381597",417,213,326,710
"LOC100273691",124,78,99,180
"LOC100191347",0,11,4,0
"LOC103636040",0,0,0,0
"LOC103637344",0,0,0,0
"LOC100274000",438,303,359,463
"LOC100382044",2108,1084,1595,2793
"LOC103636041",0,0,0,0
"LOC100192572",73,13,16,40
"LOC100285714",606,1494,1510,1012
"LOC109941624",0,0,17,0
"LOC100193018",500,257,429,772
"LOC103637346",0,0,4,26
"LOC100274018",26,11,23,66
"LOC100193487",368,180,140,546
"LOC100277286",0,0,0,0
"LOC111590020",0,0,0,0
"LOC100274121",43,47,37,46
"LOC100281991",0,0,0,0
"LOC100191432",748,300,494,933
"LOC100281997",2,6,0,0
"LOC100278289",874,298,378,1495
"LOC100279285",70,15,24,64
"LOC100280680",0,0,0,0
"LOC100285174",939,452,485,797
"LOC109941991",0,0,0,0
"LOC109941908",0,0,0,0
"LOC103636047",0,0,0,0
"LOC103636049",2,2,0,1
"LOC100191387",1013,656,965,1263
"LOC109941626",0,0,0,0
"LOC100304181",257,40,117,357
"LOC103636051",0,0,0,0
"LOC100274453",1781,22155,8111,15799
"LOC109941574",0,0,0,0
"LOC100286248",168,108,86,185
"LOC103636052",124,186,129,251
"LOC103636053",12,5,22,11
"LOC109941954",0,0,0,0
