"","c1","c2","m1","m2"
"LOC100277316",33,7,3,43
"LOC103631827",0,0,0,0
"LOC114574113",0,0,0,0
"LOC103631828",0,0,0,0
"LOC103631829",20,12,13,24
"LOC100216713",965,1977,1107,448
"TRNAS-GGA",0,0,0,0
"LOC100502093",0,0,0,0
"LOC103644462",0,0,0,0
"LOC100502404",944,322,847,3781
"LOC100217255",3,0,0,0
"LOC111590581",0,0,0,0
"LOC109942806",0,0,0,0
"LOC103631833",55,318,144,1
"LOC100274829",9308,16748,6830,1389
"LOC100283435",450,396,292,296
"LOC100275925",2404,2133,1694,1485
"LOC103644464",0,0,0,0
"LOC103631836",0,0,4,0
"LOC109943599",0,0,0,0
"LOC103631837",19,15,9,14
"LOC103631838",0,0,0,0
"LOC100193894",171,103,29,77
"LOC100273217",790,139,28,547
"LOC103631839",8,16,1,62
"LOC103631841",22,3,10,7
"LOC100285808",1290,3040,3405,2433
"LOC109940774",0,0,0,0
"LOC100285194",97,50,60,146
"LOC103631845",78,24,10,17
"LOC100274352",426,294,533,1207
"LOC100277510",1087,661,804,1603
"LOC103631862",52,130,37,7
"LOC103631879",0,0,0,0
"LOC100193996",357,281,441,679
"LOC100273962",123,72,110,263
"LOC100277752",52,31,47,7
"LOC100281229",114,26,23,236
"LOC100383506",14,11,82,85
"LOC103644471",0,0,0,0
"LOC103644473",0,0,23,2
"LOC100216971",219,78,20,20
"LOC100282157",159,118,204,343
"LOC100383236",0,0,0,0
"LOC100383253",616,259,714,1528
"LOC103631893",0,2,0,0
"LOC100275262",786,388,491,841
"LOC118473495",0,0,0,0
"umc1467",2383,2961,2688,1266
"LOC100282061",0,14,1,0
"LOC100383809",55,19,37,67
"LOC103631940",0,0,0,0
"LOC103644476",0,0,0,0
"LOC100383763",1643,874,1190,1638
"LOC100278848",3,7,6,0
"LOC103631944",0,0,0,0
"LOC103631953",374,363,799,776
"LOC103631961",52,34,41,11
"LOC100284198",150,96,106,169
"LOC103631976",0,0,0,0
"LOC100283333",22,26,16,11
"LOC103632009",0,0,0,0
"LOC100192721",881,603,623,551
"LOC100304284",1,3,7,29
"LOC100194387",0,9,0,31
"LOC111590753",0,0,0,0
"LOC100280497",131,76,86,347
"LOC103644478",0,0,0,0
"LOC100282391",296,62,128,229
"LOC103632029",3285,2995,4340,2451
"LOC100274167",1329,969,1337,711
"LOC100285938",9065,4844,6878,9203
"LOC103632037",0,0,0,0
"LOC103632043",13,59,95,81
"LOC100278418",1029,551,710,198
"LOC100281926",87,124,176,129
"LOC103632076",4,5,10,0
"LOC100382795",7,30,45,27
"LOC100281361",287,140,274,372
"LOC100285179",79,658,544,40
"LOC100216806",334,153,105,143
"LOC103645500",0,0,0,0
"LOC103632097",13,0,0,1
"LOC109942861",0,0,0,0
"LOC103632134",0,0,0,0
"LOC109943600",0,0,0,0
"LOC103645657",0,0,0,0
"LOC103644103",0,0,0,0
"LOC111590703",0,0,0,0
"LOC111590582",0,0,0,0
"LOC103632168",495,276,277,459
"LOC103632187",37,4,4,35
"LOC103644494",0,0,0,0
"LOC100381385",13,25,58,73
"LOC103632203",731,440,955,825
"LOC103632209",186,32,101,130
"LOC103644495",1,0,0,0
"LOC732773",2,13,14,0
"LOC100383926",10271,43306,29107,2021
"LOC100284268",2895,1758,1814,3503
"LOC100381737",157,30,130,237
"LOC100283482",261,156,291,403
"LOC100277741",88,71,102,181
"LOC100383514",335,241,441,606
"LOC100281095",250,141,208,290
"LOC103632224",61,7,5,10
"LOC100276830",246,99,139,406
"LOC100282574",296,121,204,433
"LOC103632236",35,0,5,0
"LOC103644496",0,0,0,0
"LOC103632256",558,221,363,658
"LOC100285562",287,111,131,281
"LOC100282662",198,166,174,267
"LOC100285706",147,39,76,157
"LOC109942910",0,0,0,0
"LOC100216592",65,56,114,213
"LOC100282717",1004,475,1476,1102
"LOC103632265",0,0,0,0
"LOC100277970",14,14,6,9
"LOC103644498",46,29,47,32
"LOC103632272",0,0,0,0
"LOC100192806",4,34,22,0
"LOC103632282",55,39,54,15
"TRNAT-CGU",0,0,0,0
"LOC111590583",0,0,0,0
"LOC100275615",29,8,9,40
"LOC103632298",39,0,0,0
"LOC100274482",180,13,0,7
"LOC100272295",46,19,37,78
"LOC103632328",0,0,0,0
"LOC103632393",0,1,0,19
"TRNAF-GAA_1",0,0,0,0
"TRNAF-GAA_2",0,0,0,0
"LOC103644501",3,8,3,8
"LOC100279631",337,139,156,633
"LOC103632403",1198,541,487,1129
"LOC103644502",0,0,3,0
"LOC109943602",0,0,0,0
"LOC100192688",499,565,782,902
"LOC100281055",2111,968,933,752
"LOC103644503",0,0,0,0
"LOC100274325",219,1710,1222,111
"LOC100276550",79,81,56,73
"LOC103632450",968,2109,2205,1443
"LOC541959",1129,458,828,210
"LOC111590584",0,0,0,0
"LOC100281285",4,0,4,0
"LOC100283808",8,15,22,13
"LOC100502211",29,24,12,8
"sfp1",34,113,171,141
"sfp3",609,816,491,409
"LOC103632470",0,2,0,0
"LOC100285512",197,387,90,20
"LOC103632494",0,0,0,2
"LOC103632501",0,3,1,5
"LOC100217044",0,15,3,0
"LOC100381690",88,11,28,79
"LOC103632539",0,0,0,0
"LOC118473497",43,18,10,50
"LOC118473498",0,0,0,0
